SPDES Permit Number,Outfall Number,CSO Identification Number,Facility Name,Facility Owner Name,Receiving Waterbody Name,Number of Permitted Outfalls,Discharge Activation Type,Number of Overflow Events,Timeframe of Overflow Events Information,Data as of,Link to Real-time Information,DEC Region,County,Latitude,Longtitude,Location 1,NYS Municipal Boundaries,New York Zip Codes,Counties
NY0026107,023A,NY0026107-023A,NYCDEP - Port Richmond WPCF,NYC DEP,Upper New York Bay,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Richmond,40.611932,-74.060018,"{'latitude': '40.611932', 'longitude': '-74.060018'}",585,,2139
NY0027081,60,NY0027081-060,Syracuse Metro WWTP,Onondaga County Dept. of Drainaage and Sanitation,Onondaga Creek,62,Model,http://cso.savetherain.us/,"Predictive model based on rainfall, see website",2015,,7,Onondaga,43.023611,-76.154722,"{'latitude': '43.023611', 'longitude': '-76.154722'}",687,714,2132
NY0027081,10,NY0027081-010,Syracuse Metro WWTP,Onondaga County Dept. of Drainaage and Sanitation,Harbor Brook,62,Model,http://cso.savetherain.us/,"Predictive model based on rainfall, see website",2015,,7,Onondaga,43.045833,-76.1725,"{'latitude': '43.045833', 'longitude': '-76.1725'}",687,713,2132
NY0029939,3,NY0029939-003,Tupper Lake WPCP,Village of Tupper Lake,Raquette Pond,2,Observation,No Data,2013,2015,,5,Franklin,44.228333,-74.484722,"{'latitude': '44.228333', 'longitude': '-74.484722'}",178,305,621
NY0029831,4,NY0029831-004,Ogdensburg WWTP,City of Ogdensburg,St. Lawrence River,16,Observation,1,2013,2015,,6,St. Lawrence,44.701667,-75.494722,"{'latitude': '44.701667', 'longitude': '-75.494722'}",318,,2140
NY0099309,24,NY0099309-024,Troy CSO,City of Troy,Hudson River,49,Model,33,5 year average,2015,,4,Rensselaer,42.739722,-73.687222,"{'latitude': '42.739722', 'longitude': '-73.687222'}",110,11,2138
NY0026131,3,NY0026131-003,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.767046,-73.950116,"{'latitude': '40.767046', 'longitude': '-73.950116'}",749,,2095
NY0026115,6,NY0026115-006,NYCDEP - Jamaica WPCP,NYC DEP,Bergen Basin,6,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.660485,-73.811241,"{'latitude': '40.660485', 'longitude': '-73.811241'}",196,1215,2137
NY0026158,26,NY0026158-026,NYCDEP - Bowery Bay WPCP,NYC DEP,Dutch Kills,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.743067,-73.939278,"{'latitude': '40.743067', 'longitude': '-73.939278'}",196,873,2137
NY0099309,33,NY0099309-033,Troy CSO,City of Troy,Hudson River,49,Model,45,5 year average,2015,,4,Rensselaer,42.728056,-73.696389,"{'latitude': '42.728056', 'longitude': '-73.696389'}",110,11,2030
NY0025984,7,NY0025984-007,Watertown WPCP,City of Watertown,Black River,16,Monitoring,5,2013,2015,,6,Jefferson,43.982778,-75.92,"{'latitude': '43.982778', 'longitude': '-75.92'}",841,1466,2089
NY0027057,19,NY0027057-019,Lockport WWTP,City of Lockport,Eighteenmile Creek,12,Observation,No Data,No Data,2015,,9,Niagara,43.175556,-78.685,"{'latitude': '43.175556', 'longitude': '-78.685'}",163,930,2131
NY0031429,24,NY0031429-024,Utica CSO,City of Utica,Ballou Creek,47,Observation,18,May 2008 - April 2009,2015,,6,Oneida,43.094444,-75.214444,"{'latitude': '43.094444', 'longitude': '-75.214444'}",984,1464,625
NY0026107,2,NY0026107-002,NYCDEP - Port Richmond WPCF,NYC DEP,Kill Van Kull,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Richmond,40.640039,-74.12347,"{'latitude': '40.640039', 'longitude': '-74.12347'}",585,613,2139
NY0026158,3,NY0026158-003,NYCDEP - Bowery Bay WPCP,NYC DEP,Bowery Bay,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.776428,-73.889714,"{'latitude': '40.776428', 'longitude': '-73.889714'}",196,,2137
NY0026689,4,NY0026689-004,Yonkers Joint WWTP,Westchester County Department of Environmental Facilities,Hudson River,4,Observation,No Data,No Data,2015,,3,Westchester,41.011944,-73.870833,"{'latitude': '41.011944', 'longitude': '-73.870833'}",974,1244,2185
NY0026158,17,NY0026158-017,NYCDEP - Bowery Bay WPCP,NYC DEP,East River,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.7438,-73.959689,"{'latitude': '40.7438', 'longitude': '-73.959689'}",196,879,2095
NY0028339,T002,NY0028339-T002,Frank E. VanLare STP,"Rochester Pure Waters District, Monroe County",Genesse River,6,Monitoring,2,2013,2015,,8,Monroe,43.198056,-77.621944,"{'latitude': '43.198056', 'longitude': '-77.621944'}",537,1674,2093
NY0026204,37,NY0026204-037,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.747323,-73.968487,"{'latitude': '40.747323', 'longitude': '-73.968487'}",749,740,2095
NY0035742,10,NY0035742-010,Chemung County-Elmira S.D. STP,Chemung County-Elmira Sewer District,Chemung River,11,Observation,0,2013,2015,,8,Chemung,42.0875,-76.784722,"{'latitude': '42.0875', 'longitude': '-76.784722'}",485,926,2036
NY0031429,37,NY0031429-037,Utica CSO,City of Utica,Nail Creek,47,Observation,11,May 2008 - April 2009,2015,,6,Oneida,43.0975,-75.248611,"{'latitude': '43.0975', 'longitude': '-75.248611'}",984,1465,625
NY0026107,26,NY0026107-026,NYCDEP - Port Richmond WPCF,NYC DEP,Newark Bay,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Richmond,40.639921,-74.159905,"{'latitude': '40.639921', 'longitude': '-74.159905'}",585,606,
NY0026166,18,NY0026166-018,NYCDEP - Owls Head WPCP,NYC DEP,Upper New York Bay,16,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.631726,-74.040443,"{'latitude': '40.631726', 'longitude': '-74.040443'}",894,887,
NY0026107,17,NY0026107-017,NYCDEP - Port Richmond WPCF,NYC DEP,Upper New York Bay,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Richmond,40.622499,-74.070628,"{'latitude': '40.622499', 'longitude': '-74.070628'}",585,608,2139
NY0026191,25,NY0026191-025,NYCDEP - Hunt's Point WPCP,NYC DEP,East River,33,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Bronx,40.806386,-73.892023,"{'latitude': '40.806386', 'longitude': '-73.892023'}",307,745,2032
NY0026204,38,NY0026204-038,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.74543,-73.970014,"{'latitude': '40.74543', 'longitude': '-73.970014'}",749,739,2095
NY0028410,48,NY0028410-048,Bird Island WWTF,Buffalo Sewer Authority,Cazevonia Creek,52,Model,0,Average year,2015,,9,Erie,42.860556,-78.824722,"{'latitude': '42.860556', 'longitude': '-78.824722'}",300,66,2041
NY0026166,3,NY0026166-003,NYCDEP - Owls Head WPCP,NYC DEP,Upper New York Bay,16,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.652732,-74.021251,"{'latitude': '40.652732', 'longitude': '-74.021251'}",894,815,2090
NY0026191,28,NY0026191-028,NYCDEP - Hunt's Point WPCP,NYC DEP,Eastchester Bay,33,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Bronx,40.844128,-73.816645,"{'latitude': '40.844128', 'longitude': '-73.816645'}",307,,2032
NY0026204,83,NY0026204-083,NYCDEP - Newtown Creek WPCP,NYC DEP,New Creek (W),79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.714117,-73.924272,"{'latitude': '40.714117', 'longitude': '-73.924272'}",894,820,2090
NY0026239,11,NY0026239-011,NYCDEP - Tallmans Island WPCP,NYC DEP,Flushing River,22,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.765967,-73.839083,"{'latitude': '40.765967', 'longitude': '-73.839083'}",196,824,2137
NY0026158,36,NY0026158-036,NYCDEP - Bowery Bay WPCP,NYC DEP,East River,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.784186,-73.91726,"{'latitude': '40.784186', 'longitude': '-73.91726'}",196,877,2137
NY0031429,32,NY0031429-032,Utica CSO,City of Utica,Nail Creek,47,Observation,0,May 2008 - April 2009,2015,,6,Oneida,43.101111,-75.253611,"{'latitude': '43.101111', 'longitude': '-75.253611'}",984,1465,625
NY0026018,29,NY0026018-029,Plattsburgh WPCP,City of Plattsburgh,Lake Champlain,11,Model,0,5 year average,2015,,5,Clinton,44.671944,-73.446111,"{'latitude': '44.671944', 'longitude': '-73.446111'}",3,202,2038
NY0026131,14,NY0026131-014,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.778407,-73.94281,"{'latitude': '40.778407', 'longitude': '-73.94281'}",749,583,2095
NY0026204,87,NY0026204-087,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.734297,-73.974192,"{'latitude': '40.734297', 'longitude': '-73.974192'}",749,734,2095
NY0026239,5,NY0026239-005,NYCDEP - Tallmans Island WPCP,NYC DEP,East River,22,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.796438,-73.806567,"{'latitude': '40.796438', 'longitude': '-73.806567'}",196,827,2137
NY0026191,10,NY0026191-010,NYCDEP - Hunt's Point WPCP,NYC DEP,Bronx River,33,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Bronx,40.813414,-73.869759,"{'latitude': '40.813414', 'longitude': '-73.869759'}",307,710,2032
NY0027073,18,NY0027073-018,NYCDEP - Red Hook WPCP,NYC DEP,East River,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.688716,-74.004217,"{'latitude': '40.688716', 'longitude': '-74.004217'}",894,880,2090
NY0026247,8,NY0026247-008,NYCDEP - North River WPCF,NYC DEP,Harlem River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.868793,-73.911323,"{'latitude': '40.868793', 'longitude': '-73.911323'}",749,793,2095
NY0099309,6,NY0099309-006,Troy CSO,City of Troy,Hudson River,49,Model,51,5 year average,2015,,4,Rensselaer,42.781111,-73.676389,"{'latitude': '42.781111', 'longitude': '-73.676389'}",110,12,2138
NY0029831,13,NY0029831-013,Ogdensburg WWTP,City of Ogdensburg,St. Lawrence River,16,Observation,0,2013,2015,,6,St. Lawrence,44.695556,-75.498056,"{'latitude': '44.695556', 'longitude': '-75.498056'}",318,1591,2140
NY0026166,5,NY0026166-005,NYCDEP - Owls Head WPCP,NYC DEP,Gowanus Canal,16,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.678044,-73.989013,"{'latitude': '40.678044', 'longitude': '-73.989013'}",894,893,2090
NY0035742,2,NY0035742-002,Chemung County-Elmira S.D. STP,Chemung County-Elmira Sewer District,Chemung River,11,Observation,1,2013,2015,,8,Chemung,42.0775,-76.779167,"{'latitude': '42.0775', 'longitude': '-76.779167'}",477,928,2036
NY0026131,59,NY0026131-059,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.850635,-73.924224,"{'latitude': '40.850635', 'longitude': '-73.924224'}",749,,2095
NY0027057,5,NY0027057-005,Lockport WWTP,City of Lockport,Barge Canal,12,Observation,No Data,No Data,2015,,9,Niagara,43.170833,-78.693056,"{'latitude': '43.170833', 'longitude': '-78.693056'}",163,930,2131
NY0031429,118,NY0031429-118,Utica CSO,City of Utica,Ballou Creek,47,Observation,8,May 2008 - April 2009,2015,,6,Oneida,43.082222,-75.231111,"{'latitude': '43.082222', 'longitude': '-75.231111'}",984,1464,625
NY0026204,3,NY0026204-003,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.7295,-73.961212,"{'latitude': '40.7295', 'longitude': '-73.961212'}",894,901,2090
NY0027081,66,NY0027081-066,Syracuse Metro WWTP,Onondaga County Dept. of Drainaage and Sanitation,Onondaga Creek,62,Model,http://cso.savetherain.us/,"Predictive model based on rainfall, see website",2015,,7,Onondaga,43.055556,-76.161389,"{'latitude': '43.055556', 'longitude': '-76.161389'}",687,713,2132
NY0028410,52,NY0028410-052,Bird Island WWTF,Buffalo Sewer Authority,Buffalo River,52,Model,10,Average year,2015,,9,Erie,42.865,-78.802222,"{'latitude': '42.865', 'longitude': '-78.802222'}",300,62,2041
NY0027073,22,NY0027073-022,NYCDEP - Red Hook WPCP,NYC DEP,Atlantic Basin,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.683281,-74.009666,"{'latitude': '40.683281', 'longitude': '-74.009666'}",894,814,2090
NY0026204,36,NY0026204-036,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.752215,-73.964249,"{'latitude': '40.752215', 'longitude': '-73.964249'}",749,,2095
NY0026336,9,NY0026336-009,Niagara Falls WWTP,Niagara Falls Water Board,Niagara River,9,Observation,No Data,No Data,2015,,9,Niagara,43.113611,-79.059167,"{'latitude': '43.113611', 'longitude': '-79.059167'}",159,169,
NY0026204,65,NY0026204-065,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.708885,-73.996332,"{'latitude': '40.708885', 'longitude': '-73.996332'}",749,797,2095
NY0026239,10,NY0026239-010,NYCDEP - Tallmans Island WPCP,NYC DEP,Flushing River,22,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.754541,-73.839325,"{'latitude': '40.754541', 'longitude': '-73.839325'}",196,838,2137
NY0029351,7,NY0029351-007,Kingston WWTF,City of Kingston,Rondout Creek,13,Model,12,2013,2015,,3,Ulster,41.956944,-73.989444,"{'latitude': '41.956944', 'longitude': '-73.989444'}",408,79,2182
NY0031046,6,NY0031046-006,Cohoes CSO,City of Cohoes,Hudson River,16,Model,22,5 year average,2015,,4,Albany,42.7725,-73.666944,"{'latitude': '42.7725', 'longitude': '-73.666944'}",110,12,2138
NY0026131,4,NY0026131-004,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.767643,-73.949569,"{'latitude': '40.767643', 'longitude': '-73.949569'}",749,,2095
NY0026131,24,NY0026131-024,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.791108,-73.935832,"{'latitude': '40.791108', 'longitude': '-73.935832'}",749,756,2095
NY0026158,12,NY0026158-012,NYCDEP - Bowery Bay WPCP,NYC DEP,Newtown Creek,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.734314,-73.940398,"{'latitude': '40.734314', 'longitude': '-73.940398'}",196,873,2137
NY0020117,001A,NY0020117-001A,Gouverneur STP,Village of Gouverneur,Oswegatchie River,1,Observation,No Data,No Data,2015,,6,St. Lawrence,44.333056,-75.482778,"{'latitude': '44.333056', 'longitude': '-75.482778'}",330,1525,2140
NY0021873,005A,NY0021873-005A,Medina WWTP,Village of Medina,Erie Bargr Canal,13,Observation,Average of <4 overflows annually,No Data,2015,,8,Orleans,43.223333,-78.400556,"{'latitude': '43.223333', 'longitude': '-78.400556'}",500,934,626
NY0022039,3,NY0022039-003,Hudson STP,City of Hudson,Hudson River,8,Model,< 6 annually,Predicted annual average,2015,,4,Columbia,42.257778,-73.794722,"{'latitude': '42.257778', 'longitude': '-73.794722'}",515,977,619
NY0026131,55,NY0026131-055,NYCDEP - Wards Island WPCP,NYC DEP,Hudson River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.888493,-73.920024,"{'latitude': '40.888493', 'longitude': '-73.920024'}",307,708,2032
NY0026131,6,NY0026131-006,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.768932,-73.94865,"{'latitude': '40.768932', 'longitude': '-73.94865'}",749,744,2095
NY0031429,117,NY0031429-117,Utica CSO,City of Utica,Ballou Creek,47,Observation,24,May 2008 - April 2009,2015,,6,Oneida,43.083056,-75.2325,"{'latitude': '43.083056', 'longitude': '-75.2325'}",984,1464,625
NY0026018,3,NY0026018-003,Plattsburgh WPCP,City of Plattsburgh,Saranac River,11,Model,3,5 year average,2015,,5,Clinton,44.692778,-73.454722,"{'latitude': '44.692778', 'longitude': '-73.454722'}",4,202,2038
NY0026247,39,NY0026247-039,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.793711,-73.979622,"{'latitude': '40.793711', 'longitude': '-73.979622'}",749,751,2095
NY0099309,47,NY0099309-047,Troy CSO,City of Troy,Hudson River,49,Model,41,5 year average,2015,,4,Rensselaer,42.697222,-73.703611,"{'latitude': '42.697222', 'longitude': '-73.703611'}",110,11,2138
NY0026131,35,NY0026131-035,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.801054,-73.929038,"{'latitude': '40.801054', 'longitude': '-73.929038'}",749,794,2095
NY0029106,2,NY0029106-002,Oswego-West Side STP,City of Oswego,Oswego River,1,Model,No Data,No Data,2015,,7,Oswego,43.461111,-76.513889,"{'latitude': '43.461111', 'longitude': '-76.513889'}",240,667,2135
NY0021903,029A-E,NY0021903-029A-E,Auburn STP,City of Auburn,Owasco Outlet,16,Observation,No Data,No Data,2015,,7,Cayuga,42.949722,-76.563333,"{'latitude': '42.949722', 'longitude': '-76.563333'}",87,343,618
NY0026158,41,NY0026158-041,NYCDEP - Bowery Bay WPCP,NYC DEP,Rikers Island Channel,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.780266,-73.90226,"{'latitude': '40.780266', 'longitude': '-73.90226'}",196,877,2137
NY0021903,17,NY0021903-017,Auburn STP,City of Auburn,Owasco Outlet,16,Observation,No Data,No Data,2015,,7,Cayuga,42.929444,-76.559167,"{'latitude': '42.929444', 'longitude': '-76.559167'}",87,343,618
NY0026018,17,NY0026018-017,Plattsburgh WPCP,City of Plattsburgh,Saranac River,11,Model,3,5 year average,2015,,5,Clinton,44.694167,-73.454167,"{'latitude': '44.694167', 'longitude': '-73.454167'}",4,202,2038
NY0026191,2,NY0026191-002,NYCDEP - Hunt's Point WPCP,NYC DEP,East River,33,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Bronx,40.805224,-73.889828,"{'latitude': '40.805224', 'longitude': '-73.889828'}",307,,2032
NY0026158,54,NY0026158-054,NYCDEP - Bowery Bay WPCP,NYC DEP,East River - East Channel,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.768766,-73.942189,"{'latitude': '40.768766', 'longitude': '-73.942189'}",749,,2095
NY0028410,58,NY0028410-058,Bird Island WWTF,Buffalo Sewer Authority,Scajaquada Creek,52,Model,0,Average year,2015,,9,Erie,42.930278,-78.895833,"{'latitude': '42.930278', 'longitude': '-78.895833'}",300,63,2041
NY0028410,42,NY0028410-042,Bird Island WWTF,Buffalo Sewer Authority,Cazevonia Creek,52,Observation,No Data,No Data,2015,,9,Erie,42.855278,-78.814167,"{'latitude': '42.855278', 'longitude': '-78.814167'}",300,66,2041
NY0029831,8,NY0029831-008,Ogdensburg WWTP,City of Ogdensburg,St. Lawrence River,16,Observation,7,2013,2015,,6,St. Lawrence,44.707222,-75.479444,"{'latitude': '44.707222', 'longitude': '-75.479444'}",318,,2140
NY0026115,3,NY0026115-003,NYCDEP - Jamaica WPCP,NYC DEP,Bergen Basin,6,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.662121,-73.818644,"{'latitude': '40.662121', 'longitude': '-73.818644'}",196,1215,2137
NY0022039,6,NY0022039-006,Hudson STP,City of Hudson,Undershill Pond,8,Model,< 6 annually,Predicted annual average,2015,,4,Columbia,42.248611,-73.782222,"{'latitude': '42.248611', 'longitude': '-73.782222'}",515,977,619
NY0026158,15,NY0026158-015,NYCDEP - Bowery Bay WPCP,NYC DEP,Newtown Creek,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.739435,-73.957651,"{'latitude': '40.739435', 'longitude': '-73.957651'}",196,873,2137
NY0026247,56,NY0026247-056,NYCDEP - North River WPCF,NYC DEP,Harlem River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.825786,-73.955084,"{'latitude': '40.825786', 'longitude': '-73.955084'}",749,758,2095
NY0031194,3,NY0031194-003,Massena WWTP,Village of Massena,Raquette River,9,Monitoring,6,2013,2015,,6,St. Lawrence,44.919444,-74.884167,"{'latitude': '44.919444', 'longitude': '-74.884167'}",321,1585,2140
NY0026689,5,NY0026689-005,Yonkers Joint WWTP,Westchester County Department of Environmental Facilities,Hudson River,4,Observation,No Data,No Data,2015,,3,Westchester,40.993889,-73.884444,"{'latitude': '40.993889', 'longitude': '-73.884444'}",974,1445,2185
NY0027081,22,NY0027081-022,Syracuse Metro WWTP,Onondaga County Dept. of Drainaage and Sanitation,Onondaga Creek,62,Model,http://cso.savetherain.us/,"Predictive model based on rainfall, see website",2015,,7,Onondaga,43.053056,-76.158056,"{'latitude': '43.053056', 'longitude': '-76.158056'}",687,713,2132
NY0026131,53,NY0026131-053,NYCDEP - Wards Island WPCP,NYC DEP,Hudson River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.904976,-73.913893,"{'latitude': '40.904976', 'longitude': '-73.913893'}",307,708,2032
NY0099309,14,NY0099309-014,Troy CSO,City of Troy,Hudson River,49,Model,47,5 year average,2015,,4,Rensselaer,42.771111,-73.680833,"{'latitude': '42.771111', 'longitude': '-73.680833'}",110,12,2030
NY0026131,39,NY0026131-039,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.815715,-73.933826,"{'latitude': '40.815715', 'longitude': '-73.933826'}",749,,2095
NY0031194,7,NY0031194-007,Massena WWTP,Village of Massena,Grasse River,9,Monitoring,0,2013,2015,,6,St. Lawrence,44.936111,-74.891111,"{'latitude': '44.936111', 'longitude': '-74.891111'}",321,1585,2140
NY0026026,9,NY0026026-009,Rensselaer CSO,City of Rensselaer,Hudson River,8,Model,23,5 year average,2015,,4,Rensselaer,42.6575,-73.736389,"{'latitude': '42.6575', 'longitude': '-73.736389'}",115,1309,2138
